strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,period20_devfactor2,2011-07-19,sell,42.38,-2214,87475.14,93301.91755999993,562.9759200000001,6354.18000000001
0,period20_devfactor2,2011-09-07,buy,40.91,2264,92620.23999999999,92587.71611999995,555.7214399999999,0.0
0,period20_devfactor2,2011-09-08,buy,40.84,3,122.52000000000001,93244.41099999995,0.7351200000000001,0.0
0,period20_devfactor2,2011-11-09,sell,40.84,-2267,92742.76,92031.47531999995,555.5056800000001,-158.4799999999824
0,period20_devfactor2,2012-04-04,buy,43.78,2087,91368.86,90439.76215999995,548.21316,0.0
0,period20_devfactor2,2012-04-10,buy,43.28,2,86.56,93447.40279999995,0.51936,0.0
0,period20_devfactor2,2012-06-01,sell,52.16,-2089,91455.42,108335.78935999994,653.7734399999999,17506.82
0,period20_devfactor2,2012-07-24,buy,49.01,2195,107576.95,107163.52765999995,645.4617,0.0
0,period20_devfactor2,2012-07-25,buy,48.77,2,97.54,106811.42241999994,0.5852400000000001,0.0
0,period20_devfactor2,2012-09-18,sell,49.33,-2197,107674.48999999999,107742.99435999994,650.26806,703.5200000000027
0,period20_devfactor2,2013-03-19,buy,68.08,1571,106953.68,104226.34227999994,641.72208,0.0
0,period20_devfactor2,2013-03-20,buy,66.25,2,132.5,106034.49727999995,0.795,0.0
0,period20_devfactor2,2013-04-23,sell,73.77,-1573,107086.17999999998,115358.26601999994,696.24126,8954.030000000008
0,period20_devfactor2,2013-06-04,buy,70.47,1625,114513.75,109487.43351999993,687.0825,0.0
0,period20_devfactor2,2013-06-05,buy,67.28,2,134.56,109551.70615999993,0.8073600000000001,0.0
0,period20_devfactor2,2013-09-20,sell,63.7,-1627,114648.31000000001,103040.12675999996,621.8394000000001,-11008.41
0,period20_devfactor2,2013-11-14,buy,62.11,1647,102295.17,103216.91573999997,613.77102,0.0
0,period20_devfactor2,2013-11-21,buy,60.68,2,121.36,97168.17757999996,0.72816,0.0
0,period20_devfactor2,2014-01-22,sell,58.84,-1649,102416.53,96454.09461999996,582.16296,-5389.369999999992
0,period20_devfactor2,2014-03-24,buy,65.29,1467,95780.43000000001,97170.37203999996,574.68258,0.0
0,period20_devfactor2,2014-04-02,sell,68.48,-1467,95780.43000000001,99956.38107999996,602.76096,4679.729999999997
0,period20_devfactor2,2014-08-29,buy,71.66,1385,99249.09999999999,99914.88647999997,595.4946,0.0
0,period20_devfactor2,2014-09-08,sell,74.29,-1385,99249.09999999999,102386.08657999997,617.3499,3642.5500000000134
0,period20_devfactor2,2014-10-15,buy,74.89,1357,101625.73,103336.8822,609.75438,0.0
0,period20_devfactor2,2014-11-06,sell,82.02,-1357,101625.73,110783.93535999996,667.80684,9675.409999999994
0,period20_devfactor2,2015-03-02,buy,88.39,1244,109957.16,109128.99239999996,659.74296,0.0
0,period20_devfactor2,2015-03-03,buy,87.59,1,87.59,110809.21685999996,0.52554,0.0
0,period20_devfactor2,2015-03-20,sell,93.56,-1245,110044.75,115862.22365999996,698.8932,6437.450000000009
0,period20_devfactor2,2015-04-23,buy,91.25,1260,114975.0,116583.57365999997,689.85,0.0
0,period20_devfactor2,2015-04-29,buy,89.18,2,178.36,110556.52349999997,1.07016,0.0
0,period20_devfactor2,2015-09-18,sell,80.9,-1262,115153.36,101501.16869999997,612.5748000000001,-13057.559999999996
0,period20_devfactor2,2016-01-12,buy,75.65,1332,100765.8,101842.29389999996,604.5948000000001,0.0
0,period20_devfactor2,2016-03-11,sell,81.62,-1332,100765.8,108196.30685999995,652.30704,7952.039999999998
0,period20_devfactor2,2016-04-27,buy,79.23,1356,107435.88,107551.69157999996,644.6152800000001,0.0
0,period20_devfactor2,2016-04-28,buy,79.23,1,79.23,107551.21619999995,0.47538,0.0
0,period20_devfactor2,2016-06-08,sell,86.0,-1357,107515.11,116037.89419999995,700.212,9186.889999999994
0,period20_devfactor2,2016-09-14,buy,87.11,1322,115159.42,114923.89767999995,690.9565200000001,0.0
0,period20_devfactor2,2016-09-15,buy,86.79,2,173.58,119146.41619999996,1.0414800000000002,0.0
0,period20_devfactor2,2016-10-20,sell,90.77,-1324,115333.0,119471.29931999996,721.07688,4846.48
0,period20_devfactor2,2016-12-20,buy,86.0,1379,118594.0,115574.24531999996,711.5640000000001,0.0
0,period20_devfactor2,2016-12-21,buy,83.69,1,83.69,117657.54317999996,0.50214,0.0
0,period20_devfactor2,2017-02-24,sell,99.25,-1380,118677.69,136224.75317999994,821.79,18287.309999999998
0,period20_devfactor2,2017-04-03,buy,98.0,1380,135240.0,134488.71317999993,811.4399999999999,0.0
0,period20_devfactor2,2017-04-04,buy,97.33,1,97.33,138175.39919999993,0.58398,0.0
0,period20_devfactor2,2017-05-08,sell,102.5,-1381,135337.33,140778.58419999992,849.3149999999999,6215.170000000021
0,period20_devfactor2,2018-03-16,buy,121.17,1153,139709.01,141093.33013999992,838.25406,0.0
0,period20_devfactor2,2018-03-22,buy,118.33,1,118.33,138107.6001599999,0.70998,0.0
0,period20_devfactor2,2018-04-24,buy,109.08,1,109.08,125897.54567999991,0.65448,0.0
0,period20_devfactor2,2018-06-08,sell,114.17,-1155,139936.41999999998,131077.69757999992,791.1981,-8070.069999999979
